Accused_ID,Accused_Name,Gender,Age,Address,Contact_No,Nationality,Status,Created_At
1,Usha Singh,Female,38,"292, Patel Colony, Pune",+91-8307581147,Indian,At Large,2019-08-21
2,Sunita Tiwari,Female,46,"12, Gandhi Nagar, Thane",+91-9072891660,Indian,Arrested,2019-03-09
3,Sunita Pandey,Female,33,"673, Shivaji Marg, Chennai",+91-7041533506,Bangladeshi,Absconding,2023-01-29
4,Dinesh Patel,Male,29,"858, Gandhi Nagar, Kolkata",+91-7720400200,Indian,At Large,2019-02-21
5,Asha Rao,Female,29,"272, MG Road, Srinagar",+91-9346703404,Indian,Acquitted,2020-01-18
6,Pooja Chopra,Female,27,"672, MG Road, Jaipur",+91-7704485464,Indian,At Large,2019-07-22
7,Padma Chopra,Female,64,"298, Gandhi Nagar, Bhopal",+91-9272605309,Nepali,Arrested,2019-12-09
8,Priya Patel,Female,65,"776, MG Road, Patna",+91-8721815215,Indian,At Large,2019-08-20
9,Divya Das,Female,65,"139, Shivaji Marg, Bhopal",+91-7030319566,Indian,At Large,2020-11-13
10,Ajay Iyer,Male,28,"443, Patel Colony, Kanpur",+91-8004429153,Indian,Arrested,2019-12-17
11,Dinesh Joshi,Male,23,"495, Nehru Street, Meerut",+91-7896427184,Indian,At Large,2020-08-02
12,Deepak Singh,Male,56,"535, Nehru Street, Hyderabad",+91-7318943812,Indian,Acquitted,2019-02-26
13,Radha Sharma,Female,51,"266, Shivaji Marg, Ghaziabad",+91-8374003085,Indian,Acquitted,2021-04-25
14,Sunita Nair,Female,49,"517, Nehru Street, Bhopal",+91-8873309818,Indian,Convicted,2019-04-12
15,Rahul Sharma,Male,59,"461, Patel Colony, Varanasi",+91-8170815304,Indian,At Large,2020-11-26
16,Pradeep Sharma,Male,23,"510, Gandhi Nagar, Ghaziabad",+91-8897799875,Indian,Absconding,2021-06-25
17,Arun Tiwari,Male,29,"579, MG Road, Vasai",+91-7505967940,Indian,Absconding,2020-04-28
18,Kiran Patel,Male,23,"770, Gandhi Nagar, Ahmedabad",+91-7271488879,Indian,Acquitted,2019-02-26
19,Neha Bose,Female,52,"32, MG Road, Faridabad",+91-9654079212,Indian,Acquitted,2019-03-02
20,Amit Bose,Male,38,"66, MG Road, Kolkata",+91-9896560593,Indian,Acquitted,2023-10-19
21,Anita Singh,Female,47,"51, Patel Colony, Kalyan",+91-8166154591,Indian,Convicted,2022-03-06
22,Divya Bose,Female,30,"646, MG Road, Kanpur",+91-7702345709,Bangladeshi,Acquitted,2023-08-26
23,Vinod Sharma,Male,37,"650, Nehru Street, Bhopal",+91-9332273518,Indian,Arrested,2022-01-15
24,Amit Patel,Male,24,"772, Nehru Street, Nagpur",+91-8439965987,Indian,Convicted,2023-06-18
25,Sushma Das,Female,22,"599, Nehru Street, Bhopal",+91-7555108663,Indian,Convicted,2023-02-20
26,Harish Verma,Male,54,"157, MG Road, Pune",+91-8932093035,Indian,Acquitted,2019-06-03
27,Sushma Verma,Female,26,"906, Gandhi Nagar, Srinagar",+91-9858217722,Indian,At Large,2020-05-30
